id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4777,0TT8,heliport,"Dynasty Heliport",14.960012,145.631075,150,OC,MP,MP-U-A,"San Jose, Tinian",no,0TT8,,0TT8,,"",""
328149,9OG1,heliport,"Barrigada Readiness Center Heliport",13.475158,144.815983,311,OC,GU,GU-U-A,"Barrigada",no,9OG1,,9OG1,,"",""
341247,AF-0007,heliport,"Forward Operating Base Bostick Heliport",35.208583,71.523219,NaN,AS,AF,AF-KNR,"Naray",no,,,,,"",""
341248,AF-0008,heliport,"Camp Qargha North Heliport",34.548535,69.06869,NaN,AS,AF,AF-KAB,"Kabul",no,,,,,"","Camp Phoenix"
341249,AF-0009,heliport,"Camp Qargha South Heliport",34.539752,69.071963,NaN,AS,AF,AF-KAB,"Kabul",no,,,,,"","Camp Phoenix"
341250,AF-0010,heliport,"Camp Warehouse Heliport",34.54016,69.30969,NaN,AS,AF,AF-KAB,"Kabul",no,,,,,"",""
341252,AF-0012,heliport,"UNOCA Heliport",34.54526,69.27494,NaN,AS,AF,AF-KAB,"Kabul",no,,,,,"",""
35369,AF15,heliport,"Qara Tepa Heliport",37.423302,69.430298,1437,AS,AF,AF-TAK,"Qara Tepa",yes,,,,,"",""
306999,AGTI,heliport,"Tulaghi Heliport",-9.108,160.149166667,3,OC,SB,SB-CE,"Tulaghi Island",no,AGTI,TLG,,,"","Tulagi"
44906,AU-0034,heliport,"Royal Prince Alfred Hospital Helipad",-33.889331817627,151.183685302734,NaN,OC,AU,AU-NSW,"Sidney",no,,,,,"",""
44907,AU-0035,heliport,"Royal North Shore Hospital Helipad",-33.8222503662109,151.189636230469,NaN,OC,AU,AU-NSW,"Sidney",no,,,,,"",""
333684,AU-0051,heliport,"Townsville University Hospital Heliport",-19.32024,146.76059,69,OC,AU,AU-QLD,"Townsville",no,,,,,"",""
317137,AU-0055,heliport,"Brooklyn Oval Helicopter Landing Site",-33.5473,151.215684,33,OC,AU,AU-NSW,"Brooklyn",no,,,OZHJG,,"",""
317139,AU-0056,heliport,"Brooklyn TMC - Olivers Garage Helipad",-33.5562,151.1936,295,OC,AU,AU-NSW,"Brooklyn",no,,,OZHJB,,"",""
309181,AU-0057,heliport,"Brooms Head Heliport",-29.6068,153.332,21,OC,AU,AU-NSW,"Brooms Head",no,,,OZHAZ,,"","BRHD"
309197,AU-0058,heliport,"Cowal Gold Mine Helipad",-33.6553,147.40036,705,OC,AU,AU-NSW,"West Wyalong",no,,,,,"",""
309217,AU-0059,heliport,"Blackwater Hospital Helipad",-23.571308,148.877985,550,OC,AU,AU-QLD,"Blackwater",no,YXKW,,,,"",""
309561,AU-0061,heliport,"Inverell Hospital Helipad",-29.771656,151.131282,2014,OC,AU,AU-NSW,"Inverell",no,YXIV,,IVLH,,"",""
309601,AU-0062,heliport,"Blackheath - NPWS Helipad",-33.628062,150.306706,3316,OC,AU,AU-NSW,"Blackheath - NPWS",no,,,OZHAL,,"","BHT"
